playground_size,mpi_task,threads,runtime,mean_time
5000,4,6,1.614784,0.032296
5000,4,7,1.409616,0.028192
5000,4,7,1.398051,0.027961
5000,4,7,1.416176,0.028324
5000,4,7,1.393084,0.027862
5000,4,7,1.406784,0.028136
5000,4,8,1.245136,0.024903
5000,4,8,1.245265,0.024905
5000,4,8,1.244946,0.024899
5000,4,8,1.243263,0.024865
5000,4,8,1.250030,0.025001
5000,4,9,1.129040,0.022581
5000,4,9,1.114499,0.022290
5000,4,9,1.124930,0.022499
5000,4,9,1.126334,0.022527
5000,4,9,1.130178,0.022604
5000,4,10,1.025490,0.020510
5000,4,10,1.026268,0.020525
5000,4,10,1.020398,0.020408
5000,4,10,1.025232,0.020505
5000,4,10,1.018198,0.020364
5000,4,11,0.941705,0.018834
5000,4,11,0.942506,0.018850
5000,4,11,0.943480,0.018870
5000,4,11,0.943531,0.018871
5000,4,11,0.941324,0.018826
5000,4,12,0.867073,0.017341
5000,4,12,0.870492,0.017410
5000,4,12,0.873975,0.017479
5000,4,12,0.876151,0.017523
5000,4,12,0.874720,0.017494
10000,1,1,226.979697,4.539594
10000,1,1,227.191850,4.543837
10000,1,1,226.999470,4.539989
10000,1,1,226.981109,4.539622
10000,1,1,226.990106,4.539802
10000,1,2,113.597252,2.271945
10000,1,2,113.627780,2.272556
10000,1,2,113.632102,2.272642
10000,1,2,113.623114,2.272462
10000,1,2,113.643897,2.272878
10000,1,3,75.840023,1.516800
10000,1,3,76.810043,1.536201
10000,1,3,75.847582,1.516952
10000,1,3,75.832009,1.516640
10000,1,3,75.824663,1.516493
10000,1,4,56.937839,1.138757
10000,1,4,56.925316,1.138506
10000,1,4,56.926853,1.138537
10000,1,4,56.921438,1.138429
10000,1,4,56.924598,1.138492
10000,1,5,45.587991,0.911760
10000,1,5,45.562229,0.911245
10000,1,5,45.585890,0.911718
10000,1,5,45.604124,0.912082
10000,1,5,45.570643,0.911413
10000,1,6,38.033768,0.760675
10000,1,6,38.032967,0.760659
10000,1,6,38.035174,0.760703
10000,1,6,38.013461,0.760269
10000,1,6,38.030669,0.760613
10000,1,7,32.651544,0.653031
10000,1,7,32.650232,0.653005
10000,1,7,32.676216,0.653524
10000,1,7,32.634102,0.652682
10000,1,7,32.614030,0.652281
10000,1,8,28.564458,0.571289
10000,1,8,28.566384,0.571328
10000,1,8,28.570086,0.571402
10000,1,8,28.602907,0.572058
10000,1,8,28.567770,0.571355
10000,1,9,25.442374,0.508847
10000,1,9,25.419599,0.508392
10000,1,9,25.437013,0.508740
10000,1,9,25.426476,0.508530
10000,1,9,25.442589,0.508852
10000,1,10,22.897817,0.457956
10000,1,10,22.894864,0.457897
10000,1,10,22.908843,0.458177
10000,1,10,22.919654,0.458393
10000,1,10,22.907262,0.458145
10000,1,11,20.887059,0.417741
10000,1,11,20.828440,0.416569
10000,1,11,21.499821,0.429996
10000,1,11,20.848635,0.416973
10000,1,11,20.838928,0.416779
10000,1,12,19.102232,0.382045
10000,1,12,19.182445,0.383649
10000,1,12,19.120570,0.382411
10000,1,12,19.141887,0.382838
10000,1,12,19.168400,0.383368
10000,2,1,71.370724,1.427414
10000,2,1,71.368470,1.427369
10000,2,1,71.369256,1.427385
10000,2,1,71.375464,1.427509
10000,2,1,71.371451,1.427429
10000,2,2,35.922044,0.718441
10000,2,2,35.912886,0.718258
10000,2,2,35.912823,0.718256
10000,2,2,35.895565,0.717911
10000,2,2,35.894171,0.717883
10000,2,3,24.074607,0.481492
10000,2,3,24.045051,0.480901
10000,2,3,24.042532,0.480851
10000,2,3,24.141153,0.482823
10000,2,3,24.040214,0.480804
10000,2,4,18.154711,0.363094
10000,2,4,18.130599,0.362612
10000,2,4,18.153327,0.363067
10000,2,4,18.152245,0.363045
10000,2,4,18.142735,0.362855
10000,2,5,14.609653,0.292193
10000,2,5,14.597823,0.291956
10000,2,5,14.580735,0.291615
10000,2,5,14.606517,0.292130
10000,2,5,14.576781,0.291536
10000,2,6,12.228386,0.244568
10000,2,6,12.205093,0.244102
10000,2,6,12.228979,0.244580
10000,2,6,12.234133,0.244683
10000,2,6,12.229876,0.244598
10000,2,7,10.533774,0.210675
10000,2,7,10.536396,0.210728
10000,2,7,10.533713,0.210674
